date,brand,satisfied,dissatisfied,unknown
17-Dec-23,Freshwater,37,42,20
15-Dec-23,Newspoll,42,50,8
05-Dec-23,YouGov,39,55,6
03-Dec-23,Resolve,37,48,15
26-Nov-23,Essential,42,47,12
24-Nov-23,Newspoll,40,53,7
05-Nov-23,Resolve,39,46,15
03-Nov-23,Newspoll,42,52,6
14-Oct-23,Essential,46,43,11
12-Oct-23,Newspoll,46,46,8
06-Oct-23,Newspoll,45,46,9
04-Oct-23,Resolve,43,43,14
24-Sep-23,Freshwater,38,41,21
22-Sep-23,Newspoll,47,44,9
09-Sep-23,Resolve,40,47,13
03-Sep-23,Essential,46,43,10
01-Sep-23,Newspoll,46,47,7
13-Aug-23,Resolve,44,42,14
23-Jul-23,Essential,48,41,11
15-Jul-23,Resolve,51,35,15
15-Jul-23,Newspoll,52,41,7
24-Jun-23,Newspoll,52,42,6
11-Jun-23,Resolve,53,35,13
03-Jun-23,Newspoll,55,37,8
17-May-23,Freshwater,42,37,21
14-May-23,Essential,54,35,11
22-Apr-23,Newspoll,53,37,10
16-Apr-23,Resolve,55,30,15
02-Apr-23,Newspoll,56,35,9
02-Apr-23,Essential,52,35,9
16-Mar-23,Resolve,55,31,14
04-Mar-23,Newspoll,55,38,7
21-Feb-23,Morning Consult,57,31,12
19-Feb-23,Essential,53,34,13
18-Feb-23,Resolve,56,30,14
02-Feb-23,Newspoll,57,33,10
22-Jan-23,Resolve,60,25,15
15-Jan-23,Essential,55,31,13
04-Dec-22,Resolve,60,24,16
03-Dec-22,Newspoll,62,29,9
29-Nov-22,Essential,46,23,26
22-Nov-22,Morning Consult,56,31,25
15-Nov-22,Essential,60,27,13
30-Oct-22,Resolve,57,28,15
30-Oct-22,Newspoll,59,33,8
17-Oct-22,Essential,58,26,16
16-Oct-22,Freshwater,50,26,24
09-Oct-22,Resolve,60,24,16
18-Sep-22,Resolve,60,24,16
06-Sep-22,Essential,59,25,15
03-Sep-22,Newspoll,61,29,10
21-Aug-22,Resolve,61,22,17
09-Aug-22,Essential,55,28,18
30-Jul-22,Newspoll,61,26,13
11-Jul-22,Essential,56,24,20
15-Jun-22,Essential,59,18,23
31-May-22,Morning Consult,51,24,25
