Date,last_date,Firm,pv_lnp_raw,pv_alp_raw,pv_grn_raw,pv_onp_raw,pv_oth_raw,tpp_lnp_raw,tpp_alp_raw,undec
21 Nov 2021,21 Nov 2021,Essential,36,37,10,4,7,45,48,7
7 Nov 2021,7 Nov 2021,Essential,35,37,9,3,6,44,46,10
25 Oct 2021,25 Oct 2021,Essential,37,36,10,3,8,44.5,49.5,6
11 Oct 2021,11 Oct 2021,Essential,36,34,9,4,8,45,46,9
27 Sep 2021,27 Sep 2021,Essential,38,36,9,3,6,46,48,6
13 Sep 2021,13 Sep 2021,Essential,38,34,8,4,8,46,46,8
30 Aug 2021,30 Aug 2021,Essential,38,36,10,4,6,45,48,7
16 Aug 2021,16 Aug 2021,Essential,37,36,9,3,6,45,47,8
2 Aug 2021,2 Aug 2021,Essential,38,35,9,4,6,45,47,8
19 Jul 2021,19 Jul 2021,Essential,37,36,10,4,6,45,47,8
5 Jul 2021,5 Jul 2021,Essential,37,36,8,4,5,44,48,8
21 Jun 2021,21 Jun 2021,Essential,38,36,10,4,5,45.5,47.5,7
7 Jun 2021,7 Jun 2021,Essential,38,35,10,4,7,44.5,48.5,7
24 May 2021,24 May 2021,Essential,37,35,10,3,6,44,48,8
10 May 2021,10 May 2021,Essential,38,36,9,3,8,44,48,8
26 Apr 2021,26 Apr 2021,Essential,39,34,10,4,7,46.5,46.5,7
12 Apr 2021,12 Apr 2021,Essential,37,36,10,3,7,45,48,7
29 Mar 2021,29 Mar 2021,Essential,39,36,8,3,7,46,47,7
15 Mar 2021,15 Mar 2021,Essential,38,34,9,3,8,47,47,6
1 Mar 2021,1 Mar 2021,Essential,37,34,9,4,8,45,48,7
15 Feb 2021,15 Feb 2021,Essential,39,35,8,4,7,47,47,6
27 Jan–1 Feb 2021,1 Feb 2021,Essential,37,35,10,3,7,44,47,9
18 Jan 2021,18 Jan 2021,Essential,40,33,10,3,7,48,45,7
14 Dec 2020,14 Dec 2020,Essential,37,35,8,4,7,45,46,9
30 Nov 2020,30 Nov 2020,Essential,41,33,8,4,6,43,49,8
16 Nov 2020,16 Nov 2020,Essential,38,35,9,4,6,45,47,8
2 Nov 2020,2 Nov 2020,Essential,39,35,9,3,5,44,46,10
14–19 Oct 2020,19 Oct 2020,Essential,39,35,9,3,7,48,45,7
12 Oct 2020,12 Oct 2020,Essential,40,33,9,3,5,47,44,9
5 Oct 2020,5 Oct 2020,Essential,39,34,9,5,6,47,46,7
21 Sep 2020,21 Sep 2020,Essential,41,31,10,4,5,49,42,9
7 Sep 2020,7 Sep 2020,Essential,38,32,10,3,9,45,47,8
24 Aug 2020,24 Aug 2020,Essential,39,35,9,4,6,47,45,8
10 Aug 2020,10 Aug 2020,Essential,38,34,9,4,5,46,44,10
23–26 Jul 2020,26 Jul 2020,Essential,38,35,9,4,6,45,47,8
13 Jul 2020,13 Jul 2020,Essential,37,34,10,4,6,45,46,9
29 Jun 2020,29 Jun 2020,Essential,39,33,9,4,6,47,45,8
22 Jun 2020,22 Jun 2020,Essential,39,33,9,4,6,48,46,6
15 Jun 2020,15 Jun 2020,Essential,38,35,9,5,7,47,47,6
8 Jun 2020,8 Jun 2020,Essential,40,33,9,4,6,47,45,8
