Date,last_date,Firm,sample_size,pv_lnp_raw,pv_alp_raw,pv_grn_raw,pv_onp_raw,pv_uap_raw,pv_oth_raw,tpp_alp_raw,tpp_lnp_raw,undec
1–5 May 2024,5 May 2024,Essential,1150,34,31,13,7,1,7,46,47,7
17–21 Apr 2024,21 Apr 2024,Essential,1145,35,31,11,9,1,9,47,49,4
3–7 Apr 2024,7 Apr 2024,Essential,1165,34,29,14,6,2,8,48,46,6
20–24 Mar 2024,24 Mar 2024,Essential,1150,36,29,11,7,3,7,44,50,6
5–9 Mar 2024,9 Mar 2024,Essential,1126,35,32,11,8,2,8,48,47,5
21–25 Feb 2024,25 Feb 2024,Essential,1145,35,30,13,7,2,8,47,48,5
7–11 Feb 2024,11 Feb 2024,Essential,1148,34,31,14,7,1,9,50,46,4
24–28 Jan 2024,28 Jan 2024,Essental,1201,34,32,13,7,2,7,48,46,6
6–11 Dec 2023,11 Dec 2023,Essential,1102,34,31,13,6,2,9,49,46,5
22–26 Nov 2023,26 Nov 2023,Essential,1151,34,31,13,7,1,8,48,47,5
8–12 Nov 2023,12 Nov 2023,Essential,1150,34,32,12,7,2,8,49,47,4
25–29 Oct 2023,29 Oct 2023,Essential,1149,34,32,10,7,3,9,48,46,6
27 Sep – 1 Oct 2023,1 Oct 2023,Essential,1125,32,33,14,6,2,7,50,45,5
13–17 Sep 2023,17 Sep 2023,Essential,1135,32,31,13,8,2,8,49,45,6
30 Aug – 3 Sep 2023,3 Sep 2023,Essential,1151,32,31,15,7,2,7,51,43,6
16–20 Aug 2023,20 Aug 2023,Essential,1151,33,33,14,5,3,7,51,43,6
2–6 Aug 2023,6 Aug 2023,Essential,1150,30,33,12,8,2,8,52,42,6
19–23 Jul 2023,23 Jul 2023,Essential,1150,32,31,14,7,1,9,50,45,5
5–9 Jul 2023,9 Jul 2023,Essential,2248,32,32,14,8,1,8,51,44,5
21–25 Jun 2023,25 Jun 2023,Essential,1148,30,32,14,7,11,52,42,6
7–11 Jun 2023,11 Jun 2023,Essential,1123,32,32,16,5,1,9,52,42,6
24–28 May 2023,28 May 2023,Essential,1138,31,34,15,6,2,7,52,43,5
1–5 Mar 2023,5 Mar 2023,Essential,1141,32,32,12,7,,10,49,44,7
15–19 Feb 2023,19 Feb 2023,Essential,1000,30,33,14,6,3,8,51,42,7
1–6 Feb 2023,6 Feb 2023,Essential,1000,30,33,17,6,,15,55,40,5
7–11 Dec 2022,27 Dec 2022,Essential,1042,30,35,13,,,17,51,44,5
23–27 Nov 2022,27 Nov 2022,Essential,1042,31,33,13,,,17,51,43,6
